,year,mon,day,phonecharge_time
0,2013,3,28,12158
1,2013,3,29,29003
2,2013,3,31,22332
3,2013,4,1,0
4,2013,4,2,34709
5,2013,4,3,0
6,2013,4,4,27074
7,2013,4,5,0
8,2013,4,6,19172
9,2013,4,7,23272
10,2013,4,8,0
11,2013,4,9,13200
12,2013,4,10,13863
13,2013,4,11,3610
14,2013,4,12,18779
15,2013,4,13,26994
16,2013,4,14,7254
17,2013,4,15,3850
18,2013,4,16,9222
19,2013,4,17,3912
20,2013,4,18,9320
21,2013,4,19,9947
22,2013,4,20,0
23,2013,4,21,0
24,2013,4,22,10550
25,2013,4,23,22520
26,2013,4,24,0
27,2013,4,25,13836
28,2013,4,26,13477
29,2013,4,27,0
30,2013,4,29,17591
31,2013,4,30,13914
32,2013,5,1,0
33,2013,5,2,0
34,2013,5,3,0
35,2013,5,5,0
36,2013,5,6,3779
37,2013,5,7,9523
38,2013,5,8,0
39,2013,5,9,0
40,2013,5,10,3832
41,2013,5,11,9035
42,2013,5,12,0
43,2013,5,13,8856
44,2013,5,14,0
45,2013,5,15,0
46,2013,5,19,0
47,2013,5,21,8412
48,2013,5,22,0
49,2013,5,23,0
50,2013,5,25,0
51,2013,5,26,20503
52,2013,5,27,24573
53,2013,5,28,12036
