,year,mon,day,phonecharge_time
0,2013,3,27,0
1,2013,3,28,0
2,2013,3,29,0
3,2013,3,30,0
4,2013,3,31,0
5,2013,4,1,5717
6,2013,4,2,0
7,2013,4,3,0
8,2013,4,4,4787
9,2013,4,5,0
10,2013,4,6,0
11,2013,4,7,0
12,2013,4,8,23584
13,2013,4,9,0
14,2013,4,10,0
15,2013,4,11,0
16,2013,4,13,0
17,2013,4,14,23729
18,2013,4,15,19969
19,2013,4,16,0
20,2013,4,17,0
21,2013,4,18,0
22,2013,4,19,13239
23,2013,4,20,9393
24,2013,4,21,8597
25,2013,4,22,36029
26,2013,4,23,6537
27,2013,4,24,6727
28,2013,4,25,0
29,2013,4,26,0
30,2013,4,27,0
31,2013,4,28,8172
32,2013,4,29,13394
33,2013,4,30,17021
34,2013,5,1,0
35,2013,5,3,0
36,2013,5,4,3771
37,2013,5,5,4284
38,2013,5,7,13887
39,2013,5,8,0
40,2013,5,9,0
41,2013,5,10,0
42,2013,5,11,0
43,2013,5,12,0
44,2013,5,14,0
45,2013,5,15,14179
46,2013,5,16,4586
47,2013,5,17,0
48,2013,5,18,0
49,2013,5,19,25199
50,2013,5,20,5847
51,2013,5,21,19673
52,2013,5,22,4523
53,2013,5,23,0
54,2013,5,24,20233
55,2013,5,25,11127
56,2013,5,26,24153
57,2013,5,27,0
58,2013,5,28,0
59,2013,5,29,0
