,year,mon,day,phonecharge_time
0,2013,3,27,0
1,2013,3,29,0
2,2013,3,30,0
3,2013,3,31,0
4,2013,4,1,0
5,2013,4,2,0
6,2013,4,3,0
7,2013,4,4,0
8,2013,4,6,0
9,2013,4,8,0
10,2013,4,9,0
11,2013,4,10,0
12,2013,4,11,0
13,2013,4,12,0
14,2013,4,13,10169
15,2013,4,14,11215
16,2013,4,16,9558
17,2013,4,17,0
18,2013,4,18,0
19,2013,4,20,19525
20,2013,4,21,0
21,2013,4,22,23854
22,2013,4,24,30653
23,2013,4,28,4620
24,2013,4,29,0
25,2013,5,5,0
26,2013,5,7,0
27,2013,5,8,26604
28,2013,5,11,0
29,2013,5,12,0
30,2013,5,13,0
31,2013,5,14,0
32,2013,5,15,29273
33,2013,5,16,0
34,2013,5,17,0
35,2013,5,18,0
36,2013,5,21,8500
37,2013,5,22,0
38,2013,5,23,4661
39,2013,5,24,0
40,2013,5,27,15635
41,2013,5,28,5768
