,year,mon,day,phonecharge_time
0,2013,3,29,0
1,2013,4,2,0
2,2013,4,4,0
3,2013,4,6,9993
4,2013,4,7,10471
5,2013,4,9,0
6,2013,4,10,0
7,2013,4,11,0
8,2013,4,12,0
9,2013,4,13,0
10,2013,4,14,13633
11,2013,4,15,15509
12,2013,4,16,25889
13,2013,4,17,0
14,2013,4,18,10963
15,2013,4,19,20420
16,2013,4,20,20129
17,2013,4,21,23665
18,2013,4,22,12742
19,2013,4,23,7711
20,2013,4,24,0
21,2013,4,25,0
22,2013,4,26,15889
23,2013,4,27,9482
24,2013,4,28,12275
25,2013,5,1,15860
26,2013,5,4,0
27,2013,5,6,0
28,2013,5,10,0
29,2013,5,11,0
30,2013,5,12,5917
31,2013,5,13,19686
32,2013,5,14,16293
33,2013,5,15,5212
34,2013,5,16,23308
35,2013,5,17,4414
36,2013,5,18,17167
37,2013,5,19,0
38,2013,5,20,0
39,2013,5,21,19102
40,2013,5,22,0
41,2013,5,23,12559
42,2013,5,24,0
43,2013,5,25,0
44,2013,5,26,0
45,2013,5,27,0
46,2013,5,28,0
47,2013,5,29,11930
