,year,mon,day,phonecharge_time
0,2013,4,2,0
1,2013,4,3,0
2,2013,4,4,0
3,2013,4,5,0
4,2013,4,6,0
5,2013,4,8,14074
6,2013,4,9,0
7,2013,4,10,0
8,2013,4,11,0
9,2013,4,12,17916
10,2013,4,14,15403
11,2013,4,15,0
12,2013,4,18,4313
13,2013,4,21,8316
14,2013,4,22,55075
15,2013,4,23,0
16,2013,4,28,33355
17,2013,4,29,23709
18,2013,4,30,0
19,2013,5,5,0
20,2013,5,6,15578
21,2013,5,7,0
22,2013,5,8,0
23,2013,5,10,0
24,2013,5,11,0
25,2013,5,12,0
26,2013,5,14,0
27,2013,5,15,0
28,2013,5,18,0
29,2013,5,20,23965
30,2013,5,25,4449
31,2013,5,26,6700
32,2013,5,27,20283
33,2013,5,28,8224
