,year,mon,day,phonecharge_time
0,2013,3,28,14803
1,2013,3,30,10332
2,2013,4,1,5558
3,2013,4,2,4859
4,2013,4,3,7763
5,2013,4,4,4011
6,2013,4,6,4875
7,2013,4,7,0
8,2013,4,8,0
9,2013,4,10,3804
10,2013,4,11,0
11,2013,4,12,4669
12,2013,4,13,0
13,2013,4,14,4009
14,2013,4,15,4512
15,2013,4,16,0
16,2013,4,18,0
17,2013,4,19,6071
18,2013,4,20,0
19,2013,4,21,0
20,2013,4,22,16790
21,2013,4,23,0
22,2013,4,24,9226
23,2013,4,26,14142
24,2013,4,28,11927
25,2013,4,29,17872
26,2013,5,1,0
27,2013,5,2,5703
28,2013,5,3,0
29,2013,5,4,0
30,2013,5,5,0
31,2013,5,6,13324
32,2013,5,7,5694
33,2013,5,8,0
34,2013,5,9,4259
35,2013,5,10,0
36,2013,5,11,9714
37,2013,5,12,11879
38,2013,5,13,0
39,2013,5,14,5188
40,2013,5,16,7339
41,2013,5,17,25263
42,2013,5,18,0
43,2013,5,19,0
44,2013,5,20,3699
45,2013,5,21,0
46,2013,5,22,9384
47,2013,5,23,0
48,2013,5,24,10583
49,2013,5,25,8673
50,2013,5,26,0
51,2013,5,27,4350
52,2013,5,28,3919
53,2013,5,29,34350
54,2013,5,31,0
