,year,mon,day,phonecharge_time
0,2013,3,27,0
1,2013,3,28,0
2,2013,3,29,0
3,2013,3,30,10875
4,2013,3,31,0
5,2013,4,1,4730
6,2013,4,2,4696
7,2013,4,3,0
8,2013,4,4,0
9,2013,4,5,0
10,2013,4,6,19622
11,2013,4,7,32651
12,2013,4,8,8601
13,2013,4,9,0
14,2013,4,10,0
15,2013,4,11,12030
16,2013,4,13,0
17,2013,4,14,37728
18,2013,4,15,57282
19,2013,4,16,7712
20,2013,4,17,21049
21,2013,4,18,7224
22,2013,4,19,0
23,2013,4,20,0
24,2013,4,21,0
25,2013,4,22,0
26,2013,4,23,0
27,2013,4,24,48494
28,2013,4,25,0
29,2013,4,26,32662
30,2013,4,29,0
31,2013,4,30,30231
32,2013,5,1,0
33,2013,5,2,0
34,2013,5,3,0
35,2013,5,5,47638
36,2013,5,7,31520
37,2013,5,8,13638
38,2013,5,9,0
39,2013,5,10,0
40,2013,5,13,11356
41,2013,5,14,0
42,2013,5,15,19686
43,2013,5,16,0
44,2013,5,17,0
45,2013,5,18,0
46,2013,5,19,0
47,2013,5,20,35387
48,2013,5,21,0
49,2013,5,22,32887
50,2013,5,23,0
51,2013,5,24,0
52,2013,5,25,0
53,2013,5,26,0
54,2013,5,28,16895
55,2013,5,29,0
56,2013,5,30,0
