,year,mon,day,phonecharge_time
0,2013,3,27,0
1,2013,3,28,0
2,2013,3,29,0
3,2013,3,30,0
4,2013,3,31,13840
5,2013,4,3,0
6,2013,4,5,0
7,2013,4,7,6498
8,2013,4,8,0
9,2013,4,9,0
10,2013,4,12,0
11,2013,4,13,0
12,2013,4,14,0
13,2013,4,15,10031
14,2013,4,16,10382
15,2013,4,17,0
16,2013,4,20,0
17,2013,4,21,48668
18,2013,4,22,52473
19,2013,4,23,23335
20,2013,4,24,0
21,2013,4,25,0
22,2013,4,26,0
23,2013,4,28,0
24,2013,4,29,19414
25,2013,4,30,8281
26,2013,5,6,41191
27,2013,5,11,0
28,2013,5,12,0
29,2013,5,13,0
