,year,mon,day,phonecharge_time
0,2013,3,28,0
1,2013,3,30,4932
2,2013,4,1,0
3,2013,4,2,0
4,2013,4,3,0
5,2013,4,4,3790
6,2013,4,6,27341
7,2013,4,8,0
8,2013,4,9,0
9,2013,4,10,0
10,2013,4,11,38496
11,2013,4,12,0
12,2013,4,13,6067
13,2013,4,14,47330
14,2013,4,15,0
15,2013,4,16,0
16,2013,4,17,0
17,2013,4,20,10799
18,2013,4,21,9522
19,2013,4,22,53114
20,2013,4,23,0
21,2013,4,25,0
22,2013,4,26,7251
23,2013,4,27,0
24,2013,4,28,0
25,2013,4,29,29040
26,2013,4,30,14155
27,2013,5,1,0
28,2013,5,4,5739
29,2013,5,5,0
30,2013,5,6,5623
31,2013,5,9,0
32,2013,5,10,0
33,2013,5,13,4964
34,2013,5,15,29341
35,2013,5,20,0
36,2013,5,21,0
37,2013,5,22,39110
38,2013,5,25,0
39,2013,5,27,0
