,year,mon,day,phonecharge_time
0,2013,3,27,0
1,2013,3,29,0
2,2013,3,30,0
3,2013,3,31,0
4,2013,4,1,4321
5,2013,4,3,0
6,2013,4,5,0
7,2013,4,8,0
8,2013,4,9,0
9,2013,4,10,0
10,2013,4,11,0
11,2013,4,12,8035
12,2013,4,14,0
13,2013,4,15,0
14,2013,4,17,25512
15,2013,4,19,0
16,2013,4,21,17041
17,2013,4,22,0
18,2013,4,24,0
19,2013,4,26,0
20,2013,4,27,0
21,2013,4,29,0
22,2013,5,1,12850
23,2013,5,2,0
24,2013,5,3,0
25,2013,5,4,0
26,2013,5,8,0
27,2013,5,10,0
28,2013,5,13,0
29,2013,5,15,11649
30,2013,5,16,0
31,2013,5,18,0
32,2013,5,23,0
33,2013,5,26,0
34,2013,5,28,9161
