,year,mon,day,phonecharge_time
0,2013,3,27,0
1,2013,3,28,0
2,2013,3,29,0
3,2013,3,30,13973
4,2013,4,1,0
5,2013,4,2,0
6,2013,4,3,0
7,2013,4,5,0
8,2013,4,7,8727
9,2013,4,8,0
10,2013,4,10,0
11,2013,4,12,0
12,2013,4,13,6400
13,2013,4,14,54580
14,2013,4,15,0
15,2013,4,16,0
16,2013,4,17,0
17,2013,4,18,27300
18,2013,4,19,0
19,2013,4,20,0
20,2013,4,21,0
21,2013,4,22,0
22,2013,4,23,12252
23,2013,4,24,0
24,2013,4,26,6543
25,2013,4,27,0
26,2013,4,28,4309
27,2013,4,29,34805
28,2013,4,30,4273
29,2013,5,1,0
30,2013,5,2,4701
31,2013,5,3,0
32,2013,5,4,0
33,2013,5,5,24449
34,2013,5,6,7235
35,2013,5,7,38370
36,2013,5,8,0
37,2013,5,10,0
38,2013,5,11,0
39,2013,5,13,6394
40,2013,5,14,0
41,2013,5,15,14709
42,2013,5,18,0
43,2013,5,20,0
44,2013,5,21,11716
45,2013,5,22,0
46,2013,5,23,0
47,2013,5,24,3819
48,2013,5,25,61257
49,2013,5,26,0
50,2013,5,27,0
51,2013,5,28,48559
