,year,mon,day,phonecharge_time
0,2013,3,27,0
1,2013,3,29,0
2,2013,3,31,28771
3,2013,4,1,4116
4,2013,4,3,27379
5,2013,4,4,0
6,2013,4,5,0
7,2013,4,6,0
8,2013,4,7,0
9,2013,4,8,0
10,2013,4,9,0
11,2013,4,10,0
12,2013,4,12,25772
13,2013,4,14,0
14,2013,4,15,33210
15,2013,4,16,27963
16,2013,4,17,6559
17,2013,4,18,0
18,2013,4,19,0
19,2013,4,20,0
20,2013,4,21,0
21,2013,4,22,32426
22,2013,4,23,44066
23,2013,4,24,5874
24,2013,4,25,0
25,2013,4,26,4834
26,2013,4,28,47862
27,2013,4,29,35253
28,2013,5,1,40364
29,2013,5,3,0
30,2013,5,4,0
31,2013,5,5,0
32,2013,5,6,0
33,2013,5,7,25133
34,2013,5,11,0
35,2013,5,13,0
36,2013,5,14,15289
37,2013,5,15,0
38,2013,5,17,0
39,2013,5,21,0
40,2013,5,22,9901
41,2013,5,24,0
42,2013,5,26,12731
43,2013,5,27,0
