,year,mon,day,phonecharge_time
0,2013,4,1,18343
1,2013,4,2,0
2,2013,4,3,21904
3,2013,4,4,4453
4,2013,4,5,0
5,2013,4,6,0
6,2013,4,8,0
7,2013,4,10,4251
8,2013,4,11,0
9,2013,4,12,6040
10,2013,4,13,0
11,2013,4,14,21952
12,2013,4,15,0
13,2013,4,16,0
14,2013,4,17,0
15,2013,4,18,4142
16,2013,4,19,0
17,2013,4,20,8559
18,2013,4,21,21393
19,2013,4,22,0
20,2013,4,23,0
21,2013,4,24,3893
22,2013,4,26,0
23,2013,4,29,6160
24,2013,4,30,0
25,2013,5,1,0
26,2013,5,2,0
27,2013,5,3,4428
28,2013,5,4,0
29,2013,5,5,14382
30,2013,5,6,0
31,2013,5,7,0
32,2013,5,8,0
33,2013,5,9,0
34,2013,5,10,0
35,2013,5,13,11857
36,2013,5,14,0
37,2013,5,15,3922
38,2013,5,18,0
39,2013,5,20,19383
40,2013,5,21,0
41,2013,5,22,0
