,year,mon,day,phonecharge_time
0,2013,3,28,9541
1,2013,3,29,0
2,2013,3,30,0
3,2013,3,31,0
4,2013,4,2,4372
5,2013,4,3,0
6,2013,4,4,0
7,2013,4,5,0
8,2013,4,8,5620
9,2013,4,9,3682
10,2013,4,10,6375
11,2013,4,11,4250
12,2013,4,12,0
13,2013,4,13,0
14,2013,4,14,4283
15,2013,4,15,0
16,2013,4,16,0
17,2013,4,17,13563
18,2013,4,18,0
19,2013,4,19,0
20,2013,4,20,15523
21,2013,4,21,0
22,2013,4,22,0
23,2013,4,23,16781
24,2013,4,24,0
25,2013,4,25,0
26,2013,4,26,9772
27,2013,4,27,17947
28,2013,4,29,4678
29,2013,4,30,8625
30,2013,5,1,0
31,2013,5,2,18665
32,2013,5,3,0
33,2013,5,5,0
34,2013,5,7,14254
35,2013,5,8,5185
36,2013,5,9,0
37,2013,5,10,0
38,2013,5,29,8940
