,year,mon,day,phonecharge_time
0,2013,3,27,0
1,2013,3,28,0
2,2013,3,29,0
3,2013,3,31,0
4,2013,4,1,11361
5,2013,4,2,0
6,2013,4,3,0
7,2013,4,4,6330
8,2013,4,5,3619
9,2013,4,7,9463
10,2013,4,8,6479
11,2013,4,9,17113
12,2013,4,10,0
13,2013,4,11,0
14,2013,4,12,5572
15,2013,4,13,10584
16,2013,4,14,9629
17,2013,4,15,20475
18,2013,4,16,0
19,2013,4,17,0
20,2013,4,18,7419
21,2013,4,19,13830
22,2013,4,20,24768
23,2013,4,21,41920
24,2013,4,23,0
25,2013,4,24,0
26,2013,4,25,6443
27,2013,4,26,0
28,2013,4,27,13057
29,2013,4,28,15972
30,2013,4,29,8741
31,2013,4,30,11280
32,2013,5,1,0
33,2013,5,2,7220
34,2013,5,3,0
35,2013,5,4,0
36,2013,5,5,4653
37,2013,5,6,0
38,2013,5,7,26504
39,2013,5,8,0
40,2013,5,9,0
41,2013,5,10,3615
42,2013,5,11,0
43,2013,5,12,27510
44,2013,5,13,16093
45,2013,5,14,7055
46,2013,5,15,4227
47,2013,5,16,0
48,2013,5,17,5491
49,2013,5,18,0
50,2013,5,19,0
51,2013,5,20,0
52,2013,5,21,27436
53,2013,5,22,0
54,2013,5,23,0
55,2013,5,24,0
56,2013,5,25,0
57,2013,5,27,20965
58,2013,5,28,3890
