,year,mon,day,phonecharge_time
0,2013,3,28,5531
1,2013,3,29,0
2,2013,3,30,25358
3,2013,3,31,27780
4,2013,4,2,0
5,2013,4,3,0
6,2013,4,4,44592
7,2013,4,5,6716
8,2013,4,6,16250
9,2013,4,7,4604
10,2013,4,8,22605
11,2013,4,9,11191
12,2013,4,11,19430
13,2013,4,12,15953
14,2013,4,13,16479
15,2013,4,14,35908
16,2013,4,15,0
17,2013,4,16,17888
18,2013,4,17,0
19,2013,4,18,14937
20,2013,4,19,10357
21,2013,4,20,46824
22,2013,4,21,17718
23,2013,4,22,22948
24,2013,4,23,10982
25,2013,4,24,14515
26,2013,4,25,18726
27,2013,4,26,20480
28,2013,4,27,19781
29,2013,4,28,19030
30,2013,4,29,8632
31,2013,4,30,28502
32,2013,5,1,7909
33,2013,5,2,0
34,2013,5,3,35503
35,2013,5,4,15041
36,2013,5,5,16446
37,2013,5,6,17978
38,2013,5,7,33046
39,2013,5,8,0
40,2013,5,9,18490
41,2013,5,10,11193
42,2013,5,11,36035
43,2013,5,12,23321
44,2013,5,14,6133
45,2013,5,15,18920
46,2013,5,16,10600
47,2013,5,17,7751
48,2013,5,18,0
49,2013,5,19,8339
50,2013,5,20,0
51,2013,5,21,0
