,year,mon,day,phonecharge_time
0,2013,3,29,15492
1,2013,3,30,4334
2,2013,3,31,13735
3,2013,4,1,16632
4,2013,4,2,4232
5,2013,4,3,34454
6,2013,4,4,13539
7,2013,4,5,6688
8,2013,4,6,0
9,2013,4,7,0
10,2013,4,8,5351
11,2013,4,9,3942
12,2013,4,10,35078
13,2013,4,11,11988
14,2013,4,12,22406
15,2013,4,13,27004
16,2013,4,14,12077
17,2013,4,15,0
18,2013,4,16,0
19,2013,4,17,8082
20,2013,4,18,0
21,2013,4,19,0
22,2013,4,20,16135
23,2013,4,21,23291
24,2013,4,22,46875
25,2013,4,23,0
26,2013,4,24,34013
27,2013,4,25,0
28,2013,4,26,17597
29,2013,4,27,0
30,2013,5,12,9668
31,2013,5,13,28693
32,2013,5,14,38893
33,2013,5,15,23138
34,2013,5,16,25465
35,2013,5,17,16017
36,2013,5,18,0
37,2013,5,19,4472
38,2013,5,20,25723
39,2013,5,21,10205
40,2013,5,22,16466
41,2013,5,23,0
42,2013,5,24,64716
43,2013,5,25,46895
44,2013,5,26,82692
45,2013,5,27,10659
46,2013,5,28,54803
47,2013,5,29,41336
48,2013,5,30,52756
49,2013,5,31,50495
