,year,mon,day,phonecharge_time
0,2013,3,28,0
1,2013,3,29,0
2,2013,3,30,0
3,2013,3,31,0
4,2013,4,1,0
5,2013,4,2,0
6,2013,4,3,0
7,2013,4,4,0
8,2013,4,5,0
9,2013,4,7,5106
10,2013,4,8,0
11,2013,4,9,5264
12,2013,4,10,0
13,2013,4,11,0
14,2013,4,12,0
15,2013,4,13,0
16,2013,4,14,0
17,2013,4,15,0
18,2013,4,16,13654
19,2013,4,17,0
20,2013,4,18,0
21,2013,4,19,0
22,2013,4,20,0
23,2013,4,21,0
24,2013,4,22,0
25,2013,4,23,19072
26,2013,4,24,0
27,2013,4,26,0
28,2013,4,27,0
29,2013,4,28,0
30,2013,4,29,0
31,2013,4,30,5613
32,2013,5,1,0
33,2013,5,7,4312
34,2013,5,8,0
35,2013,5,10,0
36,2013,5,12,0
37,2013,5,13,8473
38,2013,5,14,4324
39,2013,5,16,0
40,2013,5,21,4367
41,2013,5,22,0
42,2013,5,23,7727
43,2013,5,25,0
44,2013,5,26,0
45,2013,5,27,0
46,2013,5,28,0
47,2013,5,29,12645
48,2013,5,31,0
