,year,mon,day,phonecharge_time
0,2013,3,29,0
1,2013,3,30,0
2,2013,4,2,0
3,2013,4,4,6537
4,2013,4,5,0
5,2013,4,7,10469
6,2013,4,8,0
7,2013,4,9,0
8,2013,4,11,4347
9,2013,4,12,0
10,2013,4,13,0
11,2013,4,14,0
12,2013,4,15,0
13,2013,4,18,0
14,2013,4,19,0
15,2013,4,20,0
16,2013,4,21,0
17,2013,4,23,7935
18,2013,4,26,6486
19,2013,4,27,0
20,2013,4,29,0
21,2013,5,1,0
22,2013,5,2,4028
23,2013,5,4,0
24,2013,5,5,3631
25,2013,5,7,0
26,2013,5,8,0
27,2013,5,9,0
28,2013,5,10,13058
29,2013,5,11,0
30,2013,5,13,9594
31,2013,5,14,5907
32,2013,5,16,20451
33,2013,5,17,0
34,2013,5,18,0
35,2013,5,20,3644
36,2013,5,21,3720
37,2013,5,22,13955
38,2013,5,23,14248
39,2013,5,24,30508
40,2013,5,25,4370
41,2013,5,26,9618
42,2013,5,28,0
43,2013,5,31,14750
