,year,mon,day,phonecharge_time
0,2013,3,27,0
1,2013,3,28,0
2,2013,3,29,10732
3,2013,3,30,0
4,2013,3,31,0
5,2013,4,1,5807
6,2013,4,3,32692
7,2013,4,5,6164
8,2013,4,6,6890
9,2013,4,7,3788
10,2013,4,8,0
11,2013,4,9,0
12,2013,4,10,5982
13,2013,4,11,7129
14,2013,4,12,0
15,2013,4,13,27133
16,2013,4,14,6885
17,2013,4,15,0
18,2013,4,16,0
19,2013,4,17,7022
20,2013,4,18,0
21,2013,4,19,0
22,2013,4,20,3668
23,2013,4,21,7633
24,2013,4,22,0
25,2013,4,23,0
26,2013,4,24,40015
27,2013,4,25,0
28,2013,4,26,29107
29,2013,4,27,6272
30,2013,4,28,10201
31,2013,4,29,0
32,2013,4,30,29013
33,2013,5,1,8854
34,2013,5,2,6616
35,2013,5,3,6093
36,2013,5,4,0
37,2013,5,5,10176
38,2013,5,7,6811
39,2013,5,8,14510
40,2013,5,9,4146
41,2013,5,11,8940
42,2013,5,12,0
43,2013,5,13,11366
44,2013,5,14,46999
45,2013,5,15,0
46,2013,5,16,4903
47,2013,5,18,10869
48,2013,5,19,3776
49,2013,5,20,0
50,2013,5,21,0
51,2013,5,22,0
52,2013,5,23,4901
53,2013,5,24,0
54,2013,5,25,0
55,2013,5,26,37406
56,2013,5,27,0
57,2013,5,28,18189
58,2013,5,29,9493
59,2013,5,30,10572
