,year,mon,day,phonecharge_time
0,2013,3,29,0
1,2013,3,30,7310
2,2013,3,31,0
3,2013,4,1,0
4,2013,4,4,8774
5,2013,4,5,0
6,2013,4,11,0
7,2013,4,12,0
8,2013,4,13,32588
9,2013,4,14,34732
10,2013,4,15,0
11,2013,4,16,0
12,2013,4,17,12202
13,2013,4,18,0
14,2013,4,19,0
15,2013,4,21,11419
16,2013,4,22,23053
17,2013,4,23,0
18,2013,4,27,0
19,2013,4,28,0
20,2013,4,30,20762
21,2013,5,3,8318
22,2013,5,4,5683
23,2013,5,12,0
24,2013,5,13,0
25,2013,5,18,0
26,2013,5,19,31469
27,2013,5,20,0
28,2013,5,21,0
29,2013,5,22,0
30,2013,5,23,9128
31,2013,5,24,13800
32,2013,5,25,0
33,2013,5,26,0
34,2013,5,27,28151
35,2013,5,28,13082
36,2013,5,29,0
