,year,mon,day,phonecharge_time
0,2013,3,28,13736
1,2013,3,29,6079
2,2013,3,30,9135
3,2013,3,31,14034
4,2013,4,1,0
5,2013,4,3,35337
6,2013,4,8,0
7,2013,4,9,0
8,2013,4,10,36515
9,2013,4,11,0
10,2013,4,12,0
11,2013,4,14,23348
12,2013,4,15,32245
13,2013,4,16,4653
14,2013,4,17,0
15,2013,4,20,0
16,2013,4,21,16062
17,2013,4,22,0
18,2013,4,23,40009
19,2013,4,24,9784
20,2013,4,26,32772
21,2013,4,29,29420
22,2013,4,30,22788
23,2013,5,5,0
24,2013,5,7,0
25,2013,5,8,4259
26,2013,5,15,9726
27,2013,5,16,0
28,2013,5,24,0
29,2013,5,25,10569
30,2013,5,26,34135
