,year,mon,day,phonecharge_time
0,2013,3,27,0
1,2013,3,29,0
2,2013,3,31,0
3,2013,4,1,0
4,2013,4,3,0
5,2013,4,4,31645
6,2013,4,5,0
7,2013,4,7,29331
8,2013,4,8,0
9,2013,4,9,31972
10,2013,4,10,46194
11,2013,4,11,6891
12,2013,4,12,0
13,2013,4,16,0
14,2013,4,17,0
15,2013,4,18,0
16,2013,4,19,0
17,2013,4,20,0
18,2013,4,21,0
19,2013,4,22,49512
20,2013,4,26,31063
21,2013,4,28,32109
22,2013,4,29,0
23,2013,4,30,0
24,2013,5,1,0
25,2013,5,2,0
26,2013,5,3,0
27,2013,5,6,13099
28,2013,5,7,0
29,2013,5,8,9070
30,2013,5,10,8264
31,2013,5,13,0
32,2013,5,14,0
33,2013,5,16,0
34,2013,5,17,0
35,2013,5,18,0
36,2013,5,20,28613
37,2013,5,21,0
38,2013,5,24,0
39,2013,5,25,30624
40,2013,5,27,0
41,2013,5,28,12927
