,year,mon,day,dark_time
0,2013,3,27,32431
1,2013,3,28,8250
2,2013,3,29,61282
3,2013,3,30,53889
4,2013,3,31,19689
5,2013,4,1,57738
6,2013,4,2,0
7,2013,4,3,8004
8,2013,4,4,26914
9,2013,4,5,28698
10,2013,4,6,10158
11,2013,4,7,6790
12,2013,4,8,69261
13,2013,4,9,12202
14,2013,4,10,76987
15,2013,4,11,61654
16,2013,4,12,55199
17,2013,4,13,20861
18,2013,4,14,0
19,2013,4,15,0
20,2013,4,16,0
21,2013,4,17,4314
22,2013,4,18,30968
23,2013,4,19,23052
24,2013,4,20,12457
25,2013,4,21,65331
26,2013,4,22,67855
27,2013,4,23,17260
28,2013,4,24,51928
29,2013,4,25,72766
30,2013,4,26,53243
31,2013,4,27,23329
32,2013,4,29,57180
33,2013,4,30,12436
34,2013,5,1,71314
35,2013,5,2,52231
36,2013,5,3,64890
37,2013,5,4,6485
38,2013,5,8,14120
39,2013,5,9,20848
40,2013,5,10,0
41,2013,5,11,18794
42,2013,5,12,0
43,2013,5,13,76227
44,2013,5,14,34515
45,2013,5,15,57401
46,2013,5,16,73450
47,2013,5,17,32123
48,2013,5,18,9528
49,2013,5,19,22211
50,2013,5,20,23555
51,2013,5,22,7633
52,2013,5,23,38458
53,2013,5,24,8813
54,2013,5,26,36160
55,2013,5,27,17966
56,2013,5,28,7900
