,year,mon,day,dark_time
0,2013,4,2,35272
1,2013,4,3,4068
2,2013,4,4,38198
3,2013,4,5,11785
4,2013,4,6,9626
5,2013,4,7,10417
6,2013,4,8,8704
7,2013,4,9,55466
8,2013,4,10,46317
9,2013,4,11,45338
10,2013,4,12,12533
11,2013,4,13,10760
12,2013,4,14,14951
13,2013,4,15,8562
14,2013,4,16,36540
15,2013,4,17,57231
16,2013,4,18,4386
17,2013,4,19,8952
18,2013,4,20,16393
19,2013,4,21,15636
20,2013,4,22,15449
21,2013,4,23,42749
22,2013,4,24,6306
23,2013,4,25,49830
24,2013,4,26,44778
25,2013,4,27,32848
26,2013,4,28,4855
27,2013,4,29,4512
28,2013,4,30,36139
29,2013,5,1,5599
30,2013,5,2,64089
31,2013,5,3,10964
32,2013,5,4,0
33,2013,5,7,37254
34,2013,5,8,0
35,2013,5,10,35594
36,2013,5,13,33124
37,2013,5,15,4650
38,2013,5,20,22436
39,2013,5,21,49323
40,2013,5,24,45422
41,2013,5,25,10615
42,2013,5,26,0
43,2013,5,27,33968
44,2013,5,28,0
