,year,mon,day,dark_time
0,2013,3,29,22278
1,2013,3,30,12017
2,2013,3,31,12424
3,2013,4,1,4034
4,2013,4,3,0
5,2013,4,5,7536
6,2013,4,6,12328
7,2013,4,8,23505
8,2013,4,9,16697
9,2013,4,10,5758
10,2013,4,11,26502
11,2013,4,13,0
12,2013,4,14,12794
13,2013,4,15,0
14,2013,4,16,6673
15,2013,4,17,33623
16,2013,4,18,22380
17,2013,4,19,9078
18,2013,4,20,0
19,2013,4,23,0
20,2013,4,24,3908
21,2013,4,25,8764
22,2013,4,28,0
23,2013,4,29,3905
24,2013,4,30,0
25,2013,5,10,3802
26,2013,5,11,0
27,2013,5,13,0
28,2013,5,14,10654
29,2013,5,15,3946
