,year,mon,day,dark_time
0,2013,3,27,37942
1,2013,3,28,45916
2,2013,3,29,9173
3,2013,3,30,35088
4,2013,3,31,37887
5,2013,4,1,43558
6,2013,4,2,28129
7,2013,4,3,47555
8,2013,4,4,13614
9,2013,4,5,35756
10,2013,4,6,15437
11,2013,4,7,0
12,2013,4,8,25205
13,2013,4,9,45604
14,2013,4,10,49637
15,2013,4,11,55354
16,2013,4,12,19467
17,2013,4,13,44209
18,2013,4,14,60778
19,2013,4,15,43181
20,2013,4,16,28000
21,2013,4,17,0
22,2013,4,18,27944
23,2013,4,19,39299
24,2013,4,20,8208
25,2013,4,21,38944
26,2013,4,22,54384
27,2013,4,23,52317
28,2013,4,24,32622
29,2013,4,25,12570
30,2013,4,26,44304
31,2013,4,27,0
32,2013,4,28,19690
33,2013,4,29,33527
34,2013,4,30,0
35,2013,5,1,14432
36,2013,5,2,40732
37,2013,5,3,12864
38,2013,5,4,35584
39,2013,5,5,33957
40,2013,5,6,0
41,2013,5,7,20783
42,2013,5,8,29856
43,2013,5,9,10438
44,2013,5,10,9259
45,2013,5,11,20981
46,2013,5,12,55813
47,2013,5,13,10818
48,2013,5,14,7708
49,2013,5,15,43164
50,2013,5,16,5234
51,2013,5,17,13075
52,2013,5,18,39509
53,2013,5,19,0
54,2013,5,20,14566
55,2013,5,21,32926
56,2013,5,22,10705
57,2013,5,23,27602
58,2013,5,24,48951
59,2013,5,25,11036
60,2013,5,26,33506
61,2013,5,27,3632
62,2013,5,28,4307
63,2013,5,29,32040
64,2013,5,30,33647
