,year,mon,day,dark_time
0,2013,3,27,31733
1,2013,3,28,55814
2,2013,3,29,14710
3,2013,3,30,23016
4,2013,3,31,50452
5,2013,4,1,54039
6,2013,4,2,64757
7,2013,4,3,63116
8,2013,4,4,53737
9,2013,4,5,45800
10,2013,4,6,64378
11,2013,4,7,15236
12,2013,4,8,43917
13,2013,4,9,62812
14,2013,4,10,61417
15,2013,4,11,31302
16,2013,4,12,50229
17,2013,4,13,16268
18,2013,4,14,54902
19,2013,4,15,68540
20,2013,4,16,14251
21,2013,4,17,26789
22,2013,4,18,59717
23,2013,4,19,62939
24,2013,4,20,10010
25,2013,4,21,6281
26,2013,4,22,57880
27,2013,4,23,40158
28,2013,4,24,55243
29,2013,4,25,59527
30,2013,4,26,46418
31,2013,4,27,57458
32,2013,4,28,53459
33,2013,4,29,49210
34,2013,4,30,7884
35,2013,5,1,59703
36,2013,5,2,66969
37,2013,5,3,51120
38,2013,5,4,13001
39,2013,5,5,62988
40,2013,5,6,42884
41,2013,5,7,28949
42,2013,5,8,56348
43,2013,5,9,48794
44,2013,5,10,56299
45,2013,5,11,70885
46,2013,5,12,33980
47,2013,5,13,57688
48,2013,5,14,60582
49,2013,5,15,49897
50,2013,5,16,59149
51,2013,5,17,60732
52,2013,5,18,43668
53,2013,5,19,13778
54,2013,5,20,15960
55,2013,5,21,61968
