,year,mon,day,dark_time
0,2013,3,28,42042
1,2013,3,29,11265
2,2013,3,30,62712
3,2013,3,31,38303
4,2013,4,1,3814
5,2013,4,2,8583
6,2013,4,3,0
7,2013,4,4,4304
8,2013,4,5,38747
9,2013,4,6,0
10,2013,4,8,28694
11,2013,4,9,41617
12,2013,4,10,45756
13,2013,4,11,11516
14,2013,4,12,14899
15,2013,4,13,34266
16,2013,4,14,26753
17,2013,4,15,43535
18,2013,4,16,38680
19,2013,4,17,15252
20,2013,4,18,34648
21,2013,4,19,41358
22,2013,4,20,20831
23,2013,4,21,30625
24,2013,4,22,32199
25,2013,4,23,34517
26,2013,4,24,12734
27,2013,4,25,46097
28,2013,4,26,30929
29,2013,4,27,39747
30,2013,4,28,29741
31,2013,4,29,13166
32,2013,4,30,27933
33,2013,5,1,39397
34,2013,5,2,35371
35,2013,5,3,33416
36,2013,5,4,0
37,2013,5,5,8746
38,2013,5,6,6798
39,2013,5,7,30948
40,2013,5,8,6886
41,2013,5,9,3794
