,year,mon,day,dark_time
0,2013,3,28,0
1,2013,3,29,80556
2,2013,3,31,0
3,2013,4,1,14548
4,2013,4,2,7101
5,2013,4,3,11156
6,2013,4,4,0
7,2013,4,5,4186
8,2013,4,8,0
9,2013,4,9,17258
10,2013,4,11,10183
11,2013,4,14,0
12,2013,4,17,0
13,2013,4,19,0
14,2013,4,21,0
15,2013,4,22,0
16,2013,4,24,0
17,2013,4,27,0
18,2013,4,29,0
19,2013,5,1,0
20,2013,5,4,0
21,2013,5,5,5862
22,2013,5,6,0
23,2013,5,7,0
24,2013,5,8,0
25,2013,5,9,0
26,2013,5,10,0
27,2013,5,11,15715
28,2013,5,13,0
29,2013,5,16,0
30,2013,5,19,4607
31,2013,5,28,0
32,2013,5,29,0
