,year,mon,day,dark_time
0,2013,4,2,25306
1,2013,4,3,46000
2,2013,4,4,50304
3,2013,4,5,32958
4,2013,4,6,25184
5,2013,4,7,14477
6,2013,4,8,0
7,2013,4,9,9803
8,2013,4,10,33837
9,2013,4,11,5464
10,2013,4,12,15598
11,2013,4,13,0
12,2013,4,16,6245
13,2013,4,17,4950
14,2013,4,18,6191
15,2013,4,19,6407
16,2013,4,20,12633
17,2013,4,22,15170
18,2013,4,24,7354
19,2013,4,25,66057
20,2013,4,26,11986
21,2013,4,27,0
22,2013,4,28,0
23,2013,4,29,0
24,2013,4,30,0
25,2013,5,1,21888
26,2013,5,2,66731
27,2013,5,3,0
28,2013,5,4,0
29,2013,5,5,0
30,2013,5,7,0
31,2013,5,9,0
32,2013,5,12,17326
33,2013,5,15,0
34,2013,5,16,0
35,2013,5,17,0
36,2013,5,21,20072
37,2013,5,23,0
38,2013,5,24,30840
39,2013,5,26,3700
40,2013,5,28,0
