,year,mon,day,dark_time
0,2013,3,27,0
1,2013,3,28,53743
2,2013,3,29,59707
3,2013,3,30,19196
4,2013,3,31,26563
5,2013,4,1,4635
6,2013,4,2,0
7,2013,4,3,21519
8,2013,4,4,10954
9,2013,4,5,13750
10,2013,4,6,0
11,2013,4,7,8164
12,2013,4,8,53929
13,2013,4,9,10136
14,2013,4,10,6436
15,2013,4,11,9715
16,2013,4,12,73165
17,2013,4,13,0
18,2013,4,14,19181
19,2013,4,15,51402
20,2013,4,16,35720
21,2013,4,17,0
22,2013,4,18,8465
23,2013,4,19,58089
24,2013,4,20,48035
25,2013,4,21,5134
26,2013,4,22,0
27,2013,4,23,0
28,2013,4,24,23678
29,2013,4,25,0
30,2013,4,26,10336
31,2013,4,27,6023
32,2013,4,29,22327
33,2013,4,30,33629
34,2013,5,1,14653
35,2013,5,2,6576
36,2013,5,3,7966
37,2013,5,4,14349
38,2013,5,6,45574
39,2013,5,7,17611
40,2013,5,8,40718
41,2013,5,9,0
42,2013,5,10,4070
43,2013,5,11,45227
44,2013,5,12,0
45,2013,5,13,6695
46,2013,5,14,0
47,2013,5,15,7854
48,2013,5,16,12931
49,2013,5,17,0
50,2013,5,18,4246
51,2013,5,19,0
52,2013,5,20,33980
53,2013,5,21,24635
54,2013,5,22,37719
55,2013,5,23,24467
56,2013,5,24,5266
57,2013,5,25,54490
58,2013,5,26,11810
59,2013,5,27,5800
60,2013,5,28,0
