,year,mon,day,dark_time
0,2013,3,30,17740
1,2013,3,31,58534
2,2013,4,1,9969
3,2013,4,2,28615
4,2013,4,3,5301
5,2013,4,4,16231
6,2013,4,5,3769
7,2013,4,6,23111
8,2013,4,7,0
9,2013,4,8,20306
10,2013,4,9,6355
11,2013,4,10,4131
12,2013,4,11,11288
13,2013,4,12,21675
14,2013,4,13,70044
15,2013,4,14,8680
16,2013,4,15,3845
17,2013,4,16,35344
18,2013,4,17,0
19,2013,4,18,0
20,2013,4,19,0
21,2013,4,21,22689
22,2013,4,22,5185
23,2013,4,23,12440
24,2013,4,24,50459
25,2013,4,25,18977
26,2013,4,26,4919
27,2013,4,27,31733
28,2013,4,28,0
29,2013,4,30,8687
30,2013,5,2,6474
31,2013,5,13,0
32,2013,5,14,31717
33,2013,5,15,47887
34,2013,5,16,0
35,2013,5,19,0
36,2013,5,20,70043
37,2013,5,21,6245
38,2013,5,22,17655
39,2013,5,23,0
40,2013,5,27,4464
41,2013,5,28,0
42,2013,5,29,0
43,2013,5,31,58253
