,year,mon,day,dark_time
0,2013,3,27,23063
1,2013,3,28,20356
2,2013,3,29,38081
3,2013,3,30,14052
4,2013,3,31,35753
5,2013,4,1,28469
6,2013,4,2,8438
7,2013,4,3,43446
8,2013,4,4,10797
9,2013,4,5,31615
10,2013,4,6,16461
11,2013,4,7,0
12,2013,4,8,30086
13,2013,4,9,38129
14,2013,4,10,31793
15,2013,4,11,58658
16,2013,4,12,49792
17,2013,4,13,8061
18,2013,4,14,9082
19,2013,4,15,37260
20,2013,4,16,4094
21,2013,4,17,28146
22,2013,4,18,7467
23,2013,4,19,4128
24,2013,4,20,5781
25,2013,4,21,0
26,2013,4,22,8494
27,2013,4,23,20854
28,2013,4,24,37234
29,2013,4,25,0
30,2013,4,26,0
31,2013,4,27,0
32,2013,4,28,25409
33,2013,4,29,6724
34,2013,4,30,12755
35,2013,5,1,21466
36,2013,5,2,7371
37,2013,5,3,32523
38,2013,5,4,12153
39,2013,5,5,21021
40,2013,5,6,33524
41,2013,5,7,35003
42,2013,5,8,37050
43,2013,5,9,18362
44,2013,5,10,41258
45,2013,5,11,47150
46,2013,5,12,0
47,2013,5,13,31119
48,2013,5,14,24432
49,2013,5,15,39740
50,2013,5,16,5967
51,2013,5,17,26790
52,2013,5,18,33529
53,2013,5,19,28691
54,2013,5,20,11566
55,2013,5,21,7874
56,2013,5,22,38876
57,2013,5,23,11883
58,2013,5,24,25468
59,2013,5,25,46119
60,2013,5,26,17771
61,2013,5,27,14530
62,2013,5,28,0
