,year,mon,day,dark_time
0,2013,3,27,52955
1,2013,3,28,8692
2,2013,3,29,0
3,2013,3,30,11611
4,2013,3,31,0
5,2013,4,1,31789
6,2013,4,3,0
7,2013,4,5,6197
8,2013,4,7,0
9,2013,4,8,0
10,2013,4,9,0
11,2013,4,10,4492
12,2013,4,11,29876
13,2013,4,14,0
14,2013,4,15,48884
15,2013,4,16,40563
16,2013,4,17,0
17,2013,4,21,8201
18,2013,4,22,24581
19,2013,4,23,24368
20,2013,4,28,0
21,2013,4,29,36970
22,2013,4,30,49305
23,2013,5,5,0
24,2013,5,6,7856
25,2013,5,7,14876
26,2013,5,10,0
27,2013,5,11,0
28,2013,5,15,57379
