,year,mon,day,dark_time
0,2013,4,1,19823
1,2013,4,2,22440
2,2013,4,3,38375
3,2013,4,4,5585
4,2013,4,5,34337
5,2013,4,6,0
6,2013,4,7,0
7,2013,4,8,6648
8,2013,4,9,25160
9,2013,4,10,22405
10,2013,4,11,16313
11,2013,4,12,0
12,2013,4,13,55507
13,2013,4,15,21545
14,2013,4,16,0
15,2013,4,17,4367
16,2013,4,18,0
17,2013,4,19,60801
18,2013,4,21,8760
19,2013,4,22,54605
20,2013,4,23,15085
21,2013,4,26,21259
22,2013,4,27,0
23,2013,4,29,6500
24,2013,4,30,6276
25,2013,5,1,5041
26,2013,5,2,8855
27,2013,5,5,10034
28,2013,5,6,62277
29,2013,5,7,0
30,2013,5,8,40738
31,2013,5,9,32289
32,2013,5,13,0
33,2013,5,14,51619
34,2013,5,15,71889
35,2013,5,19,13123
36,2013,5,20,21821
