,year,mon,day,dark_time
0,2013,3,29,6832
1,2013,3,30,35250
2,2013,3,31,0
3,2013,4,2,0
4,2013,4,3,17758
5,2013,4,4,41588
6,2013,4,5,6760
7,2013,4,6,28601
8,2013,4,7,5224
9,2013,4,8,34575
10,2013,4,9,0
11,2013,4,10,43766
12,2013,4,11,0
13,2013,4,12,0
14,2013,4,13,0
15,2013,4,14,4220
16,2013,4,15,10910
17,2013,4,19,26651
18,2013,4,20,0
19,2013,4,21,0
20,2013,4,22,0
21,2013,4,23,5712
22,2013,4,24,0
23,2013,4,25,6520
24,2013,4,26,8248
25,2013,4,27,4175
26,2013,4,28,46518
27,2013,4,29,31897
28,2013,4,30,0
29,2013,5,1,4350
30,2013,5,2,0
31,2013,5,6,16027
32,2013,5,7,3999
33,2013,5,11,18683
34,2013,5,12,4938
35,2013,5,13,0
36,2013,5,14,0
37,2013,5,15,0
38,2013,5,16,0
39,2013,5,17,15440
40,2013,5,18,39501
41,2013,5,19,51682
42,2013,5,20,0
43,2013,5,21,13269
44,2013,5,23,9409
45,2013,5,24,0
46,2013,5,25,8895
47,2013,5,27,49126
48,2013,5,28,0
49,2013,5,29,0
