,year,mon,day,dark_time
0,2013,3,29,33133
1,2013,3,30,31569
2,2013,3,31,17169
3,2013,4,1,43362
4,2013,4,2,36950
5,2013,4,3,67570
6,2013,4,4,48862
7,2013,4,5,47917
8,2013,4,6,4904
9,2013,4,7,46770
10,2013,4,8,15574
11,2013,4,9,39457
12,2013,4,10,51329
13,2013,4,11,20571
14,2013,4,12,41580
15,2013,4,13,15885
16,2013,4,14,11912
17,2013,4,15,48098
18,2013,4,16,44080
19,2013,4,17,5098
20,2013,4,18,0
21,2013,4,19,6504
22,2013,4,20,15949
23,2013,4,21,0
24,2013,4,22,5269
25,2013,4,23,45199
26,2013,4,24,5399
27,2013,4,25,6121
28,2013,4,26,34699
29,2013,4,27,36823
30,2013,4,28,36966
31,2013,4,29,27539
32,2013,4,30,43361
33,2013,5,1,17797
34,2013,5,2,41263
35,2013,5,3,0
36,2013,5,4,9812
37,2013,5,5,0
38,2013,5,6,25228
39,2013,5,7,16309
40,2013,5,8,5182
41,2013,5,9,4377
42,2013,5,10,9339
43,2013,5,11,22313
44,2013,5,12,8755
45,2013,5,13,24155
46,2013,5,14,10370
47,2013,5,15,19319
48,2013,5,16,25048
49,2013,5,17,16374
50,2013,5,18,3962
51,2013,5,19,12313
52,2013,5,20,4396
53,2013,5,21,39940
54,2013,5,22,22399
55,2013,5,23,25764
56,2013,5,24,24717
57,2013,5,25,41082
58,2013,5,26,28538
59,2013,5,28,5829
60,2013,5,29,9361
61,2013,5,30,21766
62,2013,5,31,4383
