,year,mon,day,conversation_time
0,2013,3,27,2451
1,2013,3,28,7357
2,2013,3,29,16637
3,2013,3,30,25932
4,2013,3,31,22072
5,2013,4,1,27264
6,2013,4,2,9844
7,2013,4,3,15662
8,2013,4,4,3882
9,2013,4,5,15951
10,2013,4,6,13797
11,2013,4,7,19683
12,2013,4,8,8327
13,2013,4,9,10197
14,2013,4,10,10362
15,2013,4,11,21089
16,2013,4,12,9025
17,2013,4,13,5861
18,2013,4,14,11423
19,2013,4,15,7685
20,2013,4,16,12554
21,2013,4,17,8822
22,2013,4,18,17496
23,2013,4,19,10630
24,2013,4,20,3729
25,2013,4,21,4637
26,2013,4,22,11994
27,2013,4,23,18081
28,2013,4,24,9729
29,2013,4,25,8105
30,2013,4,26,8782
31,2013,4,27,9290
32,2013,4,28,3922
33,2013,4,29,1370
34,2013,4,30,12533
35,2013,5,1,5313
36,2013,5,2,575
37,2013,5,3,13021
38,2013,5,4,17150
39,2013,5,5,28634
40,2013,5,6,8811
41,2013,5,7,1249
42,2013,5,8,13968
43,2013,5,9,1050
44,2013,5,10,16054
45,2013,5,11,21417
46,2013,5,12,11209
47,2013,5,13,10721
48,2013,5,14,5932
49,2013,5,15,21796
50,2013,5,16,4912
51,2013,5,17,31175
52,2013,5,18,7300
53,2013,5,19,4004
54,2013,5,20,654
55,2013,5,21,21760
56,2013,5,22,13962
57,2013,5,23,22791
58,2013,5,24,13275
59,2013,5,25,10152
60,2013,5,26,32192
61,2013,5,27,16389
62,2013,5,28,10795
63,2013,5,29,20456
64,2013,5,30,12678
65,2013,5,31,18138
