,year,mon,day,conversation_time
0,2013,3,27,0
1,2013,3,28,16570
2,2013,3,29,19612
3,2013,3,30,4941
4,2013,3,31,3359
5,2013,4,1,9551
6,2013,4,2,4778
7,2013,4,3,18852
8,2013,4,4,20199
9,2013,4,5,12143
10,2013,4,6,13216
11,2013,4,7,10637
12,2013,4,8,13495
13,2013,4,9,12807
14,2013,4,10,10905
15,2013,4,11,8458
16,2013,4,12,20588
17,2013,4,13,8540
18,2013,4,14,8419
19,2013,4,15,9913
20,2013,4,16,11405
21,2013,4,17,9236
22,2013,4,18,7566
23,2013,4,19,5704
24,2013,4,20,8903
25,2013,4,21,11565
26,2013,4,22,17858
27,2013,4,23,16667
28,2013,4,24,6172
29,2013,4,25,20213
30,2013,4,26,12449
31,2013,4,27,12548
32,2013,4,28,10853
33,2013,4,29,18628
34,2013,4,30,3266
35,2013,5,1,10387
36,2013,5,2,20849
37,2013,5,3,7393
38,2013,5,4,13101
39,2013,5,5,4165
40,2013,5,6,4486
41,2013,5,7,13175
42,2013,5,8,21847
43,2013,5,9,8318
44,2013,5,10,6457
45,2013,5,11,15954
46,2013,5,12,4664
47,2013,5,13,5726
48,2013,5,14,4440
49,2013,5,15,7080
50,2013,5,16,2501
51,2013,5,17,3226
52,2013,5,18,4057
53,2013,5,19,7443
54,2013,5,20,4015
55,2013,5,21,4610
56,2013,5,22,2975
