,year,mon,day,conversation_time
0,2013,4,2,28209
1,2013,4,3,39729
2,2013,4,4,18905
3,2013,4,5,30872
4,2013,4,6,16248
5,2013,4,7,0
6,2013,4,8,13050
7,2013,4,9,17346
8,2013,4,10,2643
9,2013,4,11,30407
10,2013,4,12,37276
11,2013,4,13,18302
12,2013,4,14,19040
13,2013,4,15,20428
14,2013,4,16,8410
15,2013,4,18,14785
16,2013,4,19,7609
17,2013,4,21,6948
18,2013,4,22,16982
19,2013,4,23,24945
20,2013,4,24,8502
21,2013,4,28,13305
22,2013,4,29,16463
23,2013,4,30,25177
24,2013,5,1,22921
25,2013,5,5,18003
26,2013,5,6,17784
27,2013,5,7,10888
28,2013,5,8,24453
29,2013,5,9,10036
30,2013,5,10,1623
31,2013,5,11,7857
32,2013,5,12,8387
33,2013,5,13,18481
34,2013,5,14,14225
35,2013,5,15,6768
36,2013,5,16,4833
37,2013,5,18,6767
38,2013,5,20,8227
39,2013,5,21,16249
40,2013,5,22,12943
41,2013,5,25,25826
42,2013,5,26,25011
43,2013,5,27,22608
44,2013,5,28,12497
