,year,mon,day,conversation_time
0,2013,3,27,12292
1,2013,3,28,13960
2,2013,3,29,28492
3,2013,3,30,15299
4,2013,3,31,12697
5,2013,4,1,1068
6,2013,4,2,7125
7,2013,4,3,21201
8,2013,4,4,17433
9,2013,4,5,19986
10,2013,4,6,35704
11,2013,4,7,19080
12,2013,4,8,785
13,2013,4,17,13801
14,2013,4,18,19584
15,2013,4,19,18688
16,2013,4,20,16492
17,2013,4,21,18988
18,2013,4,25,3045
19,2013,4,28,3811
20,2013,4,29,15665
21,2013,5,4,7527
22,2013,5,5,161
23,2013,5,6,11214
24,2013,5,7,1915
25,2013,5,8,382
26,2013,5,10,18479
27,2013,5,11,23112
28,2013,5,12,3195
29,2013,5,15,11025
30,2013,5,16,19203
31,2013,5,17,15869
32,2013,5,18,17408
33,2013,5,19,13355
34,2013,5,20,17725
35,2013,5,21,685
36,2013,5,22,9102
37,2013,5,23,12826
38,2013,5,24,12641
39,2013,5,25,8097
40,2013,5,27,22260
41,2013,5,28,39747
42,2013,5,29,686
43,2013,5,30,3891
44,2013,5,31,15105
