,year,mon,day,conversation_time
0,2013,3,27,14582
1,2013,3,28,18208
2,2013,3,29,24868
3,2013,3,30,22814
4,2013,3,31,42003
5,2013,4,1,39260
6,2013,4,2,11870
7,2013,4,3,23609
8,2013,4,4,15161
9,2013,4,5,20862
10,2013,4,6,11175
11,2013,4,7,7826
12,2013,4,8,36306
13,2013,4,9,18961
14,2013,4,10,26457
15,2013,4,11,3649
16,2013,4,12,13251
17,2013,4,13,11587
18,2013,4,14,12263
19,2013,4,15,22087
20,2013,4,16,14107
21,2013,4,17,18187
22,2013,4,18,7764
23,2013,4,19,13624
24,2013,4,20,1190
25,2013,4,21,13006
26,2013,4,22,19845
27,2013,4,23,25087
28,2013,4,24,434
29,2013,4,25,8548
30,2013,4,26,2049
31,2013,4,29,47532
32,2013,4,30,18130
33,2013,5,5,7582
34,2013,5,6,31336
35,2013,5,7,5540
36,2013,5,8,7352
37,2013,5,9,5303
38,2013,5,10,11062
39,2013,5,13,4981
40,2013,5,14,14147
41,2013,5,15,20516
42,2013,5,16,12584
43,2013,5,26,2232
44,2013,5,27,1036
45,2013,5,28,11641
46,2013,5,29,14512
