,year,mon,day,conversation_time
0,2013,3,27,846
1,2013,3,28,27934
2,2013,3,29,20205
3,2013,3,30,21240
4,2013,3,31,28524
5,2013,4,1,30570
6,2013,4,2,10338
7,2013,4,3,16816
8,2013,4,4,32611
9,2013,4,5,31226
10,2013,4,6,22501
11,2013,4,7,21411
12,2013,4,8,37410
13,2013,4,9,16781
14,2013,4,10,14706
15,2013,4,11,13047
16,2013,4,12,13917
17,2013,4,13,15731
18,2013,4,14,8195
19,2013,4,15,10441
20,2013,4,16,8331
21,2013,4,18,10770
22,2013,4,19,16158
23,2013,4,20,23683
24,2013,4,21,29890
25,2013,4,22,8842
26,2013,4,23,11580
27,2013,4,24,9963
28,2013,4,25,23846
29,2013,4,26,22664
30,2013,4,27,17048
31,2013,4,28,16786
32,2013,4,29,6212
33,2013,4,30,3094
34,2013,5,1,19758
35,2013,5,2,10427
36,2013,5,3,30266
37,2013,5,4,8022
38,2013,5,5,12975
39,2013,5,6,15549
40,2013,5,7,8762
41,2013,5,8,12246
42,2013,5,9,13977
43,2013,5,10,12634
44,2013,5,11,32545
45,2013,5,12,19094
46,2013,5,13,8514
47,2013,5,14,5835
48,2013,5,15,16462
49,2013,5,16,9672
50,2013,5,17,22524
51,2013,5,18,6305
52,2013,5,20,12822
53,2013,5,21,13232
54,2013,5,22,7826
55,2013,5,23,12335
56,2013,5,25,0
57,2013,5,26,20524
58,2013,5,27,5206
59,2013,5,28,10691
60,2013,5,29,10368
61,2013,5,30,11865
