,year,mon,day,conversation_time
0,2013,4,1,1723
1,2013,4,2,15455
2,2013,4,3,27597
3,2013,4,4,24273
4,2013,4,5,15400
5,2013,4,6,19981
6,2013,4,7,28710
7,2013,4,8,19603
8,2013,4,9,15766
9,2013,4,10,13769
10,2013,4,11,16158
11,2013,4,12,19942
12,2013,4,13,9181
13,2013,4,14,21886
14,2013,4,15,23125
15,2013,4,16,36123
16,2013,4,17,16843
17,2013,4,18,25271
18,2013,4,19,22899
19,2013,4,20,32715
20,2013,4,21,30135
21,2013,4,22,14233
22,2013,4,23,26510
23,2013,4,24,13664
24,2013,4,25,27205
25,2013,4,26,14424
26,2013,4,28,1517
27,2013,4,29,15763
28,2013,4,30,1746
29,2013,5,1,14013
30,2013,5,2,12246
31,2013,5,3,23835
32,2013,5,4,18164
33,2013,5,5,1613
34,2013,5,6,4840
35,2013,5,7,6844
36,2013,5,8,24592
37,2013,5,9,13352
38,2013,5,10,4738
39,2013,5,11,30054
40,2013,5,12,4535
41,2013,5,13,8018
42,2013,5,14,9985
43,2013,5,15,15876
44,2013,5,16,25533
45,2013,5,17,3056
46,2013,5,18,684
47,2013,5,19,5294
48,2013,5,20,18323
49,2013,5,21,18039
50,2013,5,22,3420
51,2013,5,23,746
52,2013,5,24,8964
53,2013,5,25,13865
54,2013,5,26,26141
55,2013,5,27,13968
56,2013,5,28,12307
