,year,mon,day,conversation_time
0,2013,3,27,17628
1,2013,3,28,26643
2,2013,3,29,20967
3,2013,3,30,23810
4,2013,3,31,16165
5,2013,4,1,27041
6,2013,4,2,21195
7,2013,4,3,25219
8,2013,4,4,23114
9,2013,4,5,27095
10,2013,4,6,37458
11,2013,4,7,21823
12,2013,4,8,25356
13,2013,4,9,26331
14,2013,4,10,22994
15,2013,4,11,26379
16,2013,4,12,28920
17,2013,4,13,37727
18,2013,4,14,24405
19,2013,4,15,25445
20,2013,4,16,29565
21,2013,4,17,27320
22,2013,4,18,24113
23,2013,4,19,26821
24,2013,4,20,32356
25,2013,4,21,12868
26,2013,4,22,33351
27,2013,4,23,19489
28,2013,4,24,23364
29,2013,4,25,24126
30,2013,4,26,21730
31,2013,4,27,29306
32,2013,4,28,23416
33,2013,4,29,23017
34,2013,4,30,25531
35,2013,5,1,18400
36,2013,5,2,18448
37,2013,5,3,20710
38,2013,5,4,24656
39,2013,5,5,27712
40,2013,5,6,20363
41,2013,5,7,29366
42,2013,5,8,35381
43,2013,5,9,32056
44,2013,5,10,32962
45,2013,5,11,23479
46,2013,5,12,31268
47,2013,5,13,26641
48,2013,5,14,24284
49,2013,5,15,24747
50,2013,5,16,33770
51,2013,5,17,34383
52,2013,5,18,27057
53,2013,5,19,19608
54,2013,5,20,24701
55,2013,5,21,19400
56,2013,5,22,20433
