,year,mon,day,conversation_time
0,2013,3,27,9247
1,2013,3,28,14962
2,2013,3,29,25087
3,2013,3,30,21965
4,2013,3,31,19655
5,2013,4,1,27795
6,2013,4,2,13908
7,2013,4,3,31256
8,2013,4,4,20714
9,2013,4,5,23696
10,2013,4,6,13246
11,2013,4,7,15854
12,2013,4,8,31727
13,2013,4,9,16194
14,2013,4,11,31877
15,2013,4,12,0
16,2013,4,13,8338
17,2013,4,14,22849
18,2013,4,15,29322
19,2013,4,16,4166
20,2013,4,17,14920
21,2013,4,18,18197
22,2013,4,19,3629
23,2013,4,20,11808
24,2013,4,21,23948
25,2013,4,22,24177
26,2013,4,23,20244
27,2013,4,24,17289
28,2013,4,25,12800
29,2013,4,26,20364
30,2013,4,27,16056
31,2013,4,28,8373
32,2013,4,29,15942
33,2013,4,30,13275
34,2013,5,1,25120
35,2013,5,2,17020
36,2013,5,3,12698
37,2013,5,4,20316
38,2013,5,5,7897
39,2013,5,6,18592
40,2013,5,7,7595
41,2013,5,8,11134
42,2013,5,9,12460
43,2013,5,10,13609
44,2013,5,11,3527
45,2013,5,12,8289
46,2013,5,13,25590
47,2013,5,14,7148
48,2013,5,15,14907
49,2013,5,16,4070
50,2013,5,17,1138
51,2013,5,18,3541
52,2013,5,19,11225
53,2013,5,20,14460
54,2013,5,21,11974
55,2013,5,22,25327
56,2013,5,23,23912
57,2013,5,24,1068
58,2013,5,25,5142
59,2013,5,27,14498
60,2013,5,28,29596
