,year,mon,day,conversation_time
0,2013,3,27,10468
1,2013,3,28,21050
2,2013,3,29,23051
3,2013,3,30,16484
4,2013,3,31,6880
5,2013,4,1,11648
6,2013,4,2,18302
7,2013,4,3,25728
8,2013,4,4,29282
9,2013,4,5,18159
10,2013,4,6,10447
11,2013,4,7,14741
12,2013,4,8,14531
13,2013,4,9,14272
14,2013,4,10,20185
15,2013,4,11,20421
16,2013,4,12,17793
17,2013,4,13,5820
18,2013,4,14,4691
19,2013,4,15,18650
20,2013,4,16,22722
21,2013,4,17,23385
22,2013,4,18,16154
23,2013,4,19,18331
24,2013,4,20,11758
25,2013,4,21,6930
26,2013,4,22,20087
27,2013,4,23,17832
28,2013,4,24,14657
29,2013,4,25,17789
30,2013,4,26,23485
31,2013,4,27,13306
32,2013,4,28,12981
33,2013,4,29,16402
34,2013,4,30,12424
35,2013,5,1,8945
36,2013,5,2,20542
37,2013,5,3,18023
38,2013,5,4,12013
39,2013,5,5,6135
40,2013,5,6,12063
41,2013,5,7,21410
42,2013,5,8,15463
43,2013,5,9,16849
44,2013,5,10,11611
45,2013,5,11,16924
46,2013,5,12,8678
47,2013,5,13,13827
48,2013,5,14,19976
49,2013,5,15,11349
50,2013,5,16,9943
51,2013,5,17,14976
52,2013,5,18,4067
53,2013,5,19,9057
54,2013,5,20,19866
55,2013,5,21,17444
56,2013,5,22,24404
57,2013,5,23,19577
58,2013,5,24,22058
59,2013,5,25,21492
60,2013,5,26,41438
61,2013,5,27,13542
62,2013,5,28,37716
63,2013,5,29,35448
64,2013,5,30,13070
