,year,mon,day,conversation_time
0,2013,3,27,0
1,2013,3,28,18304
2,2013,3,29,39260
3,2013,3,30,15581
4,2013,3,31,11112
5,2013,4,1,26909
6,2013,4,2,2986
7,2013,4,3,29663
8,2013,4,4,18684
9,2013,4,5,39658
10,2013,4,6,12804
11,2013,4,7,835
12,2013,4,8,23594
13,2013,4,9,1755
14,2013,4,10,25384
15,2013,4,11,12630
16,2013,4,12,20994
17,2013,4,13,8845
18,2013,4,14,5738
19,2013,4,15,17512
20,2013,4,16,6435
21,2013,4,17,19969
22,2013,4,21,60
23,2013,4,22,28441
24,2013,4,23,14402
25,2013,4,24,17307
26,2013,4,25,10357
27,2013,4,26,15129
28,2013,4,27,8548
29,2013,4,28,5906
30,2013,4,29,24193
31,2013,4,30,4853
32,2013,5,1,20225
33,2013,5,2,15744
34,2013,5,3,14922
35,2013,5,4,14243
36,2013,5,5,8443
37,2013,5,6,25097
38,2013,5,7,23573
39,2013,5,8,25584
40,2013,5,9,2793
41,2013,5,10,14513
42,2013,5,11,13193
43,2013,5,12,13676
44,2013,5,13,10372
45,2013,5,14,11548
46,2013,5,15,24215
47,2013,5,16,14488
48,2013,5,17,12894
49,2013,5,18,6463
50,2013,5,19,17685
51,2013,5,20,14241
52,2013,5,21,14888
53,2013,5,22,28800
54,2013,5,23,9639
55,2013,5,24,13136
56,2013,5,25,9784
57,2013,5,26,7784
58,2013,5,27,25815
59,2013,5,28,18160
60,2013,5,29,33675
61,2013,5,30,8884
62,2013,5,31,5778
