,year,mon,day,conversation_time
0,2013,3,28,7772
1,2013,3,29,3709
2,2013,3,30,21151
3,2013,3,31,37660
4,2013,4,1,17542
5,2013,4,2,15816
6,2013,4,3,23430
7,2013,4,4,3248
8,2013,4,5,29060
9,2013,4,6,10118
10,2013,4,7,22839
11,2013,4,8,21841
12,2013,4,9,13442
13,2013,4,10,24715
14,2013,4,11,23204
15,2013,4,12,18428
16,2013,4,13,25958
17,2013,4,14,18102
18,2013,4,15,24255
19,2013,4,16,22610
20,2013,4,17,30814
21,2013,4,18,26204
22,2013,4,19,32485
23,2013,4,20,27792
24,2013,4,21,18032
25,2013,4,22,28397
26,2013,4,23,24875
27,2013,4,24,36935
28,2013,4,25,25820
29,2013,4,26,60
30,2013,4,27,7089
31,2013,4,29,19758
32,2013,4,30,23299
33,2013,5,1,14729
34,2013,5,2,18763
35,2013,5,3,4218
36,2013,5,4,31932
37,2013,5,5,17886
38,2013,5,6,22920
39,2013,5,8,7642
40,2013,5,9,20188
41,2013,5,10,7618
42,2013,5,11,23975
43,2013,5,12,6616
44,2013,5,13,12594
45,2013,5,14,2450
46,2013,5,15,20654
47,2013,5,16,13464
48,2013,5,17,2757
49,2013,5,18,47615
50,2013,5,20,4745
51,2013,5,21,6373
52,2013,5,23,8683
53,2013,5,24,16439
54,2013,5,25,29733
55,2013,5,26,20972
56,2013,5,27,9529
57,2013,5,28,14395
58,2013,5,29,44838
59,2013,5,30,35313
60,2013,5,31,19583
