,year,mon,day,conversation_time
0,2013,3,27,1694
1,2013,3,28,20810
2,2013,3,29,26361
3,2013,3,30,18707
4,2013,3,31,22629
5,2013,4,1,32620
6,2013,4,2,19138
7,2013,4,3,22533
8,2013,4,4,25817
9,2013,4,5,27276
10,2013,4,6,29966
11,2013,4,7,16308
12,2013,4,8,15303
13,2013,4,9,24507
14,2013,4,10,16620
15,2013,4,11,20823
16,2013,4,12,23182
17,2013,4,13,34082
18,2013,4,14,2137
19,2013,4,15,23235
20,2013,4,16,26617
21,2013,4,17,6323
22,2013,4,18,25425
23,2013,4,19,21430
24,2013,4,20,22273
25,2013,4,21,20544
26,2013,4,22,38492
27,2013,4,23,32985
28,2013,4,24,28494
29,2013,4,25,6575
30,2013,4,26,12523
31,2013,4,27,19555
32,2013,4,28,9701
33,2013,4,29,15077
34,2013,4,30,27764
35,2013,5,1,11212
36,2013,5,2,0
37,2013,5,3,7382
38,2013,5,4,13042
39,2013,5,5,16345
40,2013,5,6,27709
41,2013,5,13,685
42,2013,5,15,9378
43,2013,5,16,16883
44,2013,5,25,14493
45,2013,5,26,785
46,2013,5,27,12932
