,year,mon,day,conversation_time
0,2013,3,27,4355
1,2013,3,28,10196
2,2013,3,29,9139
3,2013,3,30,44350
4,2013,3,31,51173
5,2013,4,1,35949
6,2013,4,2,20171
7,2013,4,3,8366
8,2013,4,4,6863
9,2013,4,5,13476
10,2013,4,6,7412
11,2013,4,7,12365
12,2013,4,8,2560
13,2013,4,9,20656
14,2013,4,10,15262
15,2013,4,11,17497
16,2013,4,12,869
17,2013,4,13,10512
18,2013,4,14,705
19,2013,4,15,12121
20,2013,4,16,4149
21,2013,4,17,2016
22,2013,4,18,13840
23,2013,4,19,19556
24,2013,4,20,26269
25,2013,4,21,27036
26,2013,4,22,14002
27,2013,4,23,71
28,2013,4,24,4203
29,2013,4,25,24080
30,2013,4,26,14228
31,2013,4,27,26698
32,2013,4,28,27822
33,2013,4,29,19340
34,2013,4,30,36070
35,2013,5,1,11940
36,2013,5,2,4993
37,2013,5,3,10849
38,2013,5,4,19908
39,2013,5,5,17354
40,2013,5,6,17062
41,2013,5,7,5034
42,2013,5,8,27126
43,2013,5,9,12448
44,2013,5,10,888
45,2013,5,29,42318
