,year,mon,day,conversation_time
0,2013,3,27,615
1,2013,3,28,2985
2,2013,3,29,12112
3,2013,3,30,7425
4,2013,3,31,18313
5,2013,4,1,5995
6,2013,4,2,23794
7,2013,4,3,32605
8,2013,4,4,8319
9,2013,4,5,13570
10,2013,4,6,15861
11,2013,4,7,20887
12,2013,4,8,6153
13,2013,4,9,15610
14,2013,4,10,20103
15,2013,4,11,19696
16,2013,4,12,17112
17,2013,4,13,12455
18,2013,4,14,15436
19,2013,4,15,926
20,2013,4,16,1825
21,2013,4,17,13739
22,2013,4,18,4543
23,2013,4,19,15537
24,2013,4,20,9853
25,2013,4,21,5524
26,2013,4,22,4948
27,2013,4,23,19344
28,2013,4,24,16702
29,2013,4,25,8148
30,2013,4,26,0
31,2013,4,27,949
32,2013,4,28,19986
33,2013,4,29,29978
34,2013,4,30,6798
35,2013,5,1,9628
36,2013,5,2,13553
37,2013,5,3,0
38,2013,5,4,2187
39,2013,5,5,16266
40,2013,5,6,4276
41,2013,5,7,18996
42,2013,5,8,15018
43,2013,5,9,1028
44,2013,5,10,6253
45,2013,5,11,10229
46,2013,5,12,18920
47,2013,5,13,10689
48,2013,5,14,14059
49,2013,5,15,8532
50,2013,5,16,16542
51,2013,5,17,2551
52,2013,5,18,161
53,2013,5,19,4190
54,2013,5,20,9586
55,2013,5,21,19100
56,2013,5,22,70
57,2013,5,23,161
58,2013,5,24,7756
59,2013,5,25,14380
60,2013,5,26,4112
61,2013,5,27,8251
62,2013,5,28,17556
63,2013,5,29,23137
64,2013,5,30,9496
65,2013,5,31,4345
