,year,mon,day,conversation_time
0,2013,3,27,8947
1,2013,3,28,22827
2,2013,3,29,26626
3,2013,3,30,18199
4,2013,3,31,5275
5,2013,4,1,8108
6,2013,4,2,19895
7,2013,4,3,23600
8,2013,4,4,28297
9,2013,4,5,26764
10,2013,4,6,22912
11,2013,4,7,14214
12,2013,4,8,21335
13,2013,4,9,25874
14,2013,4,10,19415
15,2013,4,11,25225
16,2013,4,12,20363
17,2013,4,13,28977
18,2013,4,14,32487
19,2013,4,15,26538
20,2013,4,16,13232
21,2013,4,17,15500
22,2013,4,18,33057
23,2013,4,19,16732
24,2013,4,20,6150
25,2013,4,21,70
26,2013,4,22,1978
27,2013,4,23,16362
28,2013,4,24,15794
29,2013,4,25,18669
30,2013,4,26,20914
31,2013,4,27,5488
32,2013,4,28,8634
33,2013,5,1,4473
34,2013,5,2,7716
35,2013,5,4,0
36,2013,5,5,1998
37,2013,5,6,7606
38,2013,5,7,12277
39,2013,5,8,8858
40,2013,5,10,7526
41,2013,5,11,7672
42,2013,5,12,14329
43,2013,5,13,10570
44,2013,5,14,20605
45,2013,5,15,18004
46,2013,5,16,17043
47,2013,5,20,6816
48,2013,5,21,19396
49,2013,5,22,20087
50,2013,5,23,23594
51,2013,5,24,19216
52,2013,5,25,15813
53,2013,5,26,19848
54,2013,5,27,33118
55,2013,5,28,39993
56,2013,5,29,45546
57,2013,5,30,2724
58,2013,5,31,11180
