,year,mon,day,conversation_time
0,2013,3,27,8611
1,2013,3,28,10447
2,2013,3,29,18607
3,2013,3,30,13710
4,2013,3,31,2936
5,2013,4,1,6727
6,2013,4,2,16282
7,2013,4,3,15088
8,2013,4,4,21223
9,2013,4,5,12939
10,2013,4,6,22489
11,2013,4,7,14905
12,2013,4,8,12426
13,2013,4,9,2570
14,2013,4,10,20293
15,2013,4,11,11919
16,2013,4,12,13101
17,2013,4,13,3146
18,2013,4,14,5858
19,2013,4,15,22399
20,2013,4,16,10653
21,2013,4,17,20445
22,2013,4,18,14733
23,2013,4,19,21637
24,2013,4,20,11295
25,2013,4,21,8074
26,2013,4,22,19756
27,2013,4,23,11672
28,2013,4,24,21786
29,2013,4,25,12353
30,2013,4,26,21147
31,2013,4,27,20617
32,2013,4,28,3649
33,2013,4,29,18497
34,2013,4,30,2189
35,2013,5,1,16097
36,2013,5,2,7967
37,2013,5,3,19956
38,2013,5,4,6868
39,2013,5,5,6169
40,2013,5,6,13524
41,2013,5,7,14181
42,2013,5,8,22645
43,2013,5,9,8935
44,2013,5,11,827
45,2013,5,12,15987
46,2013,5,13,11702
47,2013,5,14,8610
48,2013,5,15,14111
49,2013,5,16,4466
50,2013,5,17,8091
51,2013,5,18,14033
52,2013,5,19,2218
53,2013,5,20,5689
54,2013,5,21,19681
55,2013,5,22,14306
56,2013,5,23,12525
57,2013,5,24,25407
58,2013,5,25,9306
59,2013,5,26,5598
60,2013,5,27,6958
61,2013,5,28,26346
62,2013,5,29,12653
63,2013,5,30,13090
64,2013,5,31,8344
