,year,mon,day,conversation_time
0,2013,3,28,0
1,2013,4,1,13409
2,2013,4,2,22672
3,2013,4,3,34348
4,2013,4,4,15135
5,2013,4,5,29083
6,2013,4,6,28036
7,2013,4,7,12063
8,2013,4,8,7332
9,2013,4,9,16566
10,2013,4,10,29991
11,2013,4,11,23692
12,2013,4,12,22832
13,2013,4,13,13177
14,2013,4,14,15627
15,2013,4,15,2773
16,2013,4,16,6272
17,2013,4,17,18349
18,2013,4,18,5546
19,2013,4,19,10182
20,2013,4,20,10399
21,2013,4,21,4605
22,2013,4,22,7018
23,2013,4,23,10632
24,2013,4,26,4085
25,2013,4,27,18159
26,2013,4,28,17326
27,2013,4,29,26258
28,2013,4,30,28086
29,2013,5,1,24436
30,2013,5,4,2511
31,2013,5,5,20364
32,2013,5,6,7318
33,2013,5,7,7745
34,2013,5,8,19198
35,2013,5,9,2509
36,2013,5,11,0
37,2013,5,12,13501
38,2013,5,13,3067
39,2013,5,14,23174
40,2013,5,15,26977
41,2013,5,16,4933
42,2013,5,19,10299
43,2013,5,20,7101
44,2013,5,21,2441
