,year,mon,day,conversation_time
0,2013,3,27,8804
1,2013,3,28,23069
2,2013,3,29,33337
3,2013,3,30,27804
4,2013,3,31,17077
5,2013,4,1,20443
6,2013,4,2,27612
7,2013,4,3,24052
8,2013,4,4,17928
9,2013,4,5,22415
10,2013,4,6,18809
11,2013,4,7,24320
12,2013,4,8,19171
13,2013,4,9,19042
14,2013,4,10,21231
15,2013,4,11,16837
16,2013,4,12,14674
17,2013,4,13,14008
18,2013,4,14,12945
19,2013,4,15,23343
20,2013,4,16,14251
21,2013,4,17,23021
22,2013,4,18,20273
23,2013,4,19,35133
24,2013,4,20,18367
25,2013,4,21,8232
26,2013,4,22,10787
27,2013,4,23,25999
28,2013,4,24,27914
29,2013,4,25,17301
30,2013,4,26,16116
31,2013,4,27,5517
32,2013,4,28,19712
33,2013,4,29,12012
34,2013,5,1,0
35,2013,5,2,9035
36,2013,5,3,20900
37,2013,5,4,26883
38,2013,5,5,25658
39,2013,5,6,16710
40,2013,5,7,14081
41,2013,5,8,23476
42,2013,5,9,12585
43,2013,5,10,17193
44,2013,5,11,27647
45,2013,5,12,716
46,2013,5,14,9863
47,2013,5,15,11598
48,2013,5,16,14116
49,2013,5,17,15756
50,2013,5,18,10525
51,2013,5,20,0
52,2013,5,21,1714
53,2013,5,22,21835
54,2013,5,23,16090
55,2013,5,24,20008
