,year,mon,day,conversation_time
0,2013,3,28,14782
1,2013,3,29,2812
2,2013,3,30,9147
3,2013,3,31,0
4,2013,4,1,0
5,2013,4,2,12073
6,2013,4,4,5133
7,2013,4,5,0
8,2013,4,6,13113
9,2013,4,7,7584
10,2013,4,8,333
11,2013,4,9,10801
12,2013,4,10,250
13,2013,4,11,8574
14,2013,4,13,4457
15,2013,4,14,2826
16,2013,4,16,6852
17,2013,4,17,352
18,2013,4,18,1261
19,2013,4,19,4055
20,2013,4,21,10796
21,2013,4,22,6843
22,2013,4,23,181
23,2013,4,24,2319
24,2013,4,25,1210
25,2013,4,26,10992
26,2013,4,27,18318
27,2013,4,28,3367
28,2013,4,29,696
29,2013,4,30,5879
30,2013,5,1,1191
31,2013,5,2,262
32,2013,5,3,573
33,2013,5,4,8842
34,2013,5,5,4821
35,2013,5,6,2169
36,2013,5,7,4105
37,2013,5,8,8319
38,2013,5,9,0
39,2013,5,11,6013
40,2013,5,13,1068
41,2013,5,14,3672
42,2013,5,16,5143
