,year,mon,day,phonelock_time
0,2013,3,27,57569
1,2013,3,28,25160
2,2013,3,29,39169
3,2013,3,30,9747
4,2013,3,31,54878
5,2013,4,1,60668
6,2013,4,3,31278
7,2013,4,5,29019
8,2013,4,7,30249
9,2013,4,8,56841
10,2013,4,9,61006
11,2013,4,10,7172
12,2013,4,12,0
13,2013,4,13,0
14,2013,4,15,9796
15,2013,4,16,10046
16,2013,4,17,0
17,2013,4,20,0
18,2013,4,21,79270
19,2013,4,22,28333
20,2013,4,23,52341
21,2013,4,24,59024
22,2013,4,26,0
23,2013,4,27,0
24,2013,4,28,9423
25,2013,4,29,49853
26,2013,4,30,47862
27,2013,5,1,0
28,2013,5,4,0
29,2013,5,5,0
30,2013,5,6,55172
31,2013,5,11,0
32,2013,5,12,0
33,2013,5,13,5912
34,2013,5,14,0
35,2013,5,15,0
36,2013,5,16,17806
