,year,mon,day,phonelock_time
0,2013,4,1,0
1,2013,4,2,31465
2,2013,4,3,5020
3,2013,4,4,31593
4,2013,4,5,0
5,2013,4,6,55774
6,2013,4,7,62800
7,2013,4,8,44532
8,2013,4,9,53401
9,2013,4,10,46152
10,2013,4,11,37317
11,2013,4,12,4365
12,2013,4,13,8331
13,2013,4,14,63555
14,2013,4,16,44095
15,2013,4,17,57905
16,2013,4,18,0
17,2013,4,19,0
18,2013,4,20,19191
19,2013,4,21,61616
20,2013,4,22,7302
21,2013,4,23,40155
22,2013,4,24,11293
23,2013,4,25,58588
24,2013,4,26,47658
25,2013,4,27,41177
26,2013,4,28,17866
27,2013,4,29,34604
28,2013,4,30,38506
29,2013,5,1,36779
30,2013,5,2,57291
31,2013,5,3,20796
32,2013,5,4,14795
33,2013,5,5,0
34,2013,5,7,59041
35,2013,5,8,22463
36,2013,5,9,0
37,2013,5,10,34475
38,2013,5,13,31785
39,2013,5,15,0
40,2013,5,20,10662
41,2013,5,21,54598
42,2013,5,24,45515
43,2013,5,25,0
44,2013,5,26,0
45,2013,5,27,40002
46,2013,5,28,5290
