,year,mon,day,phonelock_time
0,2013,3,29,30033
1,2013,3,30,3869
2,2013,3,31,52394
3,2013,4,1,55796
4,2013,4,2,67613
5,2013,4,3,31529
6,2013,4,5,20116
7,2013,4,6,0
8,2013,4,7,21043
9,2013,4,8,5578
10,2013,4,9,22520
11,2013,4,10,15479
12,2013,4,11,26122
13,2013,4,12,19053
14,2013,4,13,13108
15,2013,4,15,13234
16,2013,4,16,6383
17,2013,4,17,62789
18,2013,4,18,82233
19,2013,4,19,0
20,2013,4,21,0
21,2013,4,23,72170
22,2013,4,24,65017
23,2013,4,25,0
24,2013,4,27,0
25,2013,4,28,8292
26,2013,5,10,60430
27,2013,5,12,0
28,2013,5,13,26095
29,2013,5,15,18687
30,2013,5,29,3989
31,2013,5,31,0
