,year,mon,day,phonelock_time
0,2013,3,28,28965
1,2013,3,29,59876
2,2013,3,30,48480
3,2013,3,31,37126
4,2013,4,1,39518
5,2013,4,2,11060
6,2013,4,3,52665
7,2013,4,4,63356
8,2013,4,5,38319
9,2013,4,6,18768
10,2013,4,7,3714
11,2013,4,8,41060
12,2013,4,9,56461
13,2013,4,10,54060
14,2013,4,11,57618
15,2013,4,12,61476
16,2013,4,13,62646
17,2013,4,18,67108
18,2013,4,19,70859
19,2013,4,20,63239
20,2013,4,21,23799
21,2013,4,22,34618
22,2013,4,23,58878
23,2013,4,24,9662
24,2013,4,25,61768
25,2013,4,26,18394
26,2013,4,27,73955
27,2013,4,28,5357
28,2013,4,29,31665
29,2013,4,30,39456
30,2013,5,1,35920
31,2013,5,2,0
32,2013,5,3,58938
33,2013,5,4,0
34,2013,5,6,40515
35,2013,5,7,46793
36,2013,5,8,65208
37,2013,5,9,52838
38,2013,5,10,71671
39,2013,5,11,69500
40,2013,5,13,14227
41,2013,5,14,20153
42,2013,5,15,16652
43,2013,5,16,20571
44,2013,5,17,53120
45,2013,5,19,35339
46,2013,5,20,10587
47,2013,5,21,43457
48,2013,5,22,55169
49,2013,5,23,55475
50,2013,5,24,0
51,2013,5,25,0
52,2013,5,26,0
53,2013,5,27,22836
54,2013,5,28,6317
55,2013,5,29,11942
56,2013,5,30,0
57,2013,5,31,59569
