,year,mon,day,phonelock_time
0,2013,3,28,23227
1,2013,3,29,7427
2,2013,3,30,39039
3,2013,3,31,21770
4,2013,4,1,16200
5,2013,4,2,5413
6,2013,4,3,20599
7,2013,4,4,8513
8,2013,4,5,18773
9,2013,4,6,31738
10,2013,4,7,3661
11,2013,4,8,11942
12,2013,4,9,4337
13,2013,4,10,12567
14,2013,4,11,0
15,2013,4,12,0
16,2013,4,13,29996
17,2013,4,14,26199
18,2013,4,15,8940
19,2013,4,16,21553
20,2013,4,17,5623
21,2013,4,18,7507
22,2013,4,19,12320
23,2013,4,20,0
24,2013,4,21,4605
25,2013,4,22,7967
26,2013,4,23,16325
27,2013,4,24,20785
28,2013,4,25,12703
29,2013,4,26,18339
30,2013,4,27,36165
31,2013,4,28,38936
32,2013,4,29,16974
33,2013,4,30,0
34,2013,5,1,18474
35,2013,5,2,26397
36,2013,5,3,22674
37,2013,5,4,41718
38,2013,5,5,39654
39,2013,5,6,24633
40,2013,5,7,7432
41,2013,5,8,30511
42,2013,5,9,6048
43,2013,5,10,8520
44,2013,5,11,29852
45,2013,5,12,33505
46,2013,5,13,5025
47,2013,5,15,27770
48,2013,5,17,22236
49,2013,5,18,39953
50,2013,5,19,53532
51,2013,5,20,37564
52,2013,5,21,21572
53,2013,5,22,11693
54,2013,5,23,24898
55,2013,5,25,3641
56,2013,5,26,32113
57,2013,5,27,0
58,2013,5,28,4547
59,2013,5,29,0
60,2013,5,30,16102
