,year,mon,day,phonelock_time
0,2013,3,29,63077
1,2013,3,30,0
2,2013,3,31,24898
3,2013,4,1,4347
4,2013,4,4,17423
5,2013,4,11,0
6,2013,4,12,0
7,2013,4,13,64835
8,2013,4,14,44817
9,2013,4,15,3956
10,2013,4,16,0
11,2013,4,17,12117
12,2013,4,18,0
13,2013,4,20,0
14,2013,4,21,52337
15,2013,4,22,0
16,2013,4,27,39004
17,2013,5,3,13840
18,2013,5,4,0
19,2013,5,13,0
20,2013,5,20,43546
21,2013,5,21,46338
22,2013,5,22,26380
23,2013,5,23,4169
24,2013,5,24,7940
25,2013,5,25,44960
26,2013,5,26,14996
27,2013,5,27,26643
28,2013,5,28,8504
29,2013,5,29,13648
